art_gallery
bakery
bank
bar
beauty_salon
bicycle_store
book_store
bowling_alley
cafe
clothing_store
convenience_store
department_store
drugstore
electronics_store
florist
furniture_store
grocery_or_supermarket
gym
hair_care
hardware_store
home_goods_store
jewelry_store
liquor_store
meal_takeaway
movie_rental
movie_theater
museum
night_club
pharmacy
pet_store
restaurant
shoe_store
shopping_mall
spa
store
supermarket
